Hex_ID,Barangay_name,PCSG,Population_density*,Latitude,Longitude,Buildability,RHU_in_area
755,Batong Buhay,PH175109001,22068,,,,1
756,Batong Buhay,PH175109001,14453,,,,1
757,Batong Buhay,PH175109001,14911,,,,1
758,Batong Buhay,PH175109001,5387,,,,0
790,Batong Buhay,PH175109001,5076,,,,1
791,Batong Buhay,PH175109001,2797,,,,1
792,Batong Buhay,PH175109001,28703,,,,0
793,Batong Buhay,PH175109001,12668,,,,0
825,Batong Buhay,PH175109001,12681,,,,0
826,Batong Buhay,PH175109001,16092,,,,0
827,Batong Buhay,PH175109001,7091,,,,1
828,Batong Buhay,PH175109001,444,,,,0
860,Batong Buhay,PH175109001,2249,,,,1
861,Batong Buhay,PH175109001,28273,,,,0
862,Batong Buhay,PH175109001,6180,,,,1
863,Batong Buhay,PH175109001,6447,,,,0
895,Batong Buhay,PH175109001,28191,,,,1
896,Batong Buhay,PH175109001,3749,,,,1
897,Batong Buhay,PH175109001,15248,,,,0
898,Batong Buhay,PH175109001,21887,,,,1
930,Batong Buhay,PH175109001,20588,,,,0
931,Batong Buhay,PH175109001,11746,,,,0
932,Batong Buhay,PH175109001,27970,,,,0
933,Batong Buhay,PH175109001,20861,,,,0
965,Batong Buhay,PH175109001,6615,,,,1
966,Batong Buhay,PH175109001,11922,,,,1
967,Batong Buhay,PH175109001,11729,,,,0
968,Batong Buhay,PH175109001,21267,,,,0
1000,Batong Buhay,PH175109001,15880,,,,1
1001,Batong Buhay,PH175109001,16606,,,,0
1002,Batong Buhay,PH175109001,28888,,,,1
1003,Batong Buhay,PH175109001,8727,,,,0
1004,Batong Buhay,PH175109001,6545,,,,0
1034,Batong Buhay,PH175109001,1929,,,,1
1035,Batong Buhay,PH175109001,3859,,,,1
1036,Batong Buhay,PH175109001,14900,,,,1
1037,Batong Buhay,PH175109001,748,,,,0
1038,Batong Buhay,PH175109001,457,,,,1
1070,Batong Buhay,PH175109001,660,,,,1
1071,Batong Buhay,PH175109001,29877,,,,0
1072,Batong Buhay,PH175109001,5456,,,,0
1073,Batong Buhay,PH175109001,1697,,,,0
1074,Batong Buhay,PH175109001,7524,,,,0
1104,Batong Buhay,PH175109001,25095,,,,0
1105,Batong Buhay,PH175109001,18441,,,,1
1106,Batong Buhay,PH175109001,4100,,,,0
1107,Batong Buhay,PH175109001,17840,,,,0
1108,Batong Buhay,PH175109001,8394,,,,1
1140,Batong Buhay,PH175109001,18528,,,,0
1141,Batong Buhay,PH175109001,12792,,,,0
1142,Batong Buhay,PH175109001,20444,,,,1
1143,Batong Buhay,PH175109001,16465,,,,0
1144,Batong Buhay,PH175109001,24700,,,,0
1174,Batong Buhay,PH175109001,1406,,,,1
1175,Batong Buhay,PH175109001,16906,,,,0
1176,Batong Buhay,PH175109001,2004,,,,1
1177,Batong Buhay,PH175109001,29997,,,,1
1178,Batong Buhay,PH175109001,13869,,,,1
1210,Batong Buhay,PH175109001,29008,,,,0
1211,Batong Buhay,PH175109001,23365,,,,0
1212,Batong Buhay,PH175109001,13451,,,,1
1213,Batong Buhay,PH175109001,13008,,,,0
1214,Batong Buhay,PH175109001,26178,,,,1
1244,Batong Buhay,PH175109001,13460,,,,1
1245,Batong Buhay,PH175109001,16505,,,,0
1246,Batong Buhay,PH175109001,7211,,,,1
1247,Batong Buhay,PH175109001,38,,,,1
1248,Batong Buhay,PH175109001,12029,,,,0
1280,Batong Buhay,PH175109001,9570,,,,1
1281,Batong Buhay,PH175109001,14241,,,,1
1282,Batong Buhay,PH175109001,21649,,,,0
1283,Batong Buhay,PH175109001,1189,,,,1
1284,Batong Buhay,PH175109001,19453,,,,1
1314,Batong Buhay,PH175109001,2558,,,,1
1315,Batong Buhay,PH175109001,26351,,,,1
1316,Batong Buhay,PH175109001,18446,,,,0
1317,Batong Buhay,PH175109001,9447,,,,0
1318,Batong Buhay,PH175109001,15265,,,,0
1353,Batong Buhay,PH175109001,1361,,,,1
1354,Batong Buhay,PH175109001,4030,,,,0
93,Buenavista,PH175109002,20852,,,,0
313,Burgos,PH175109003,19879,,,,0
347,Burgos,PH175109003,22482,,,,1
348,Burgos,PH175109003,530,,,,1
349,Burgos,PH175109003,17615,,,,0
382,Burgos,PH175109003,8798,,,,1
383,Burgos,PH175109003,8444,,,,0
384,Burgos,PH175109003,2367,,,,1
385,Burgos,PH175109003,14651,,,,0
416,Burgos,PH175109003,20293,,,,1
417,Burgos,PH175109003,24435,,,,1
418,Burgos,PH175109003,20657,,,,0
419,Burgos,PH175109003,5161,,,,0
451,Burgos,PH175109003,28383,,,,1
452,Burgos,PH175109003,20428,,,,1
453,Burgos,PH175109003,15438,,,,1
454,Burgos,PH175109003,13052,,,,0
485,Burgos,PH175109003,11797,,,,1
486,Burgos,PH175109003,24837,,,,1
487,Burgos,PH175109003,2094,,,,1
488,Burgos,PH175109003,13180,,,,1
521,Burgos,PH175109003,27627,,,,0
522,Burgos,PH175109003,19946,,,,0
523,Burgos,PH175109003,12161,,,,0
