ID,BARANGAY,LAND COVERAGE,RHU
513,Santa Lucia,Open Forest,0
514,Pag-Asa,Open Forest,0
515,Pag-Asa,Open Forest,0
516,Pag-Asa,Open Forest,0
517,Pag-Asa,Brush/Shrubs,0
518,Pag-Asa,Brush/Shurbs,0
519,Batong Buhay,Brush/Shrubs,0
520,Malisbong,Open Forest,0
521,Malisbong,Open Forest,0
522,Malisbong,Open Forest,0
523,Malisbong,Open Forest,0
530,Ligaya,Grassland,0
531,Burgos,Grassland,0
532,Burgos,Grassland,0
533,Burgos,inland water,0
534,Pag-Asa,inland water,0
535,Pag-Asa,inland water,0
536,Pag-Asa,inland water,0
537,Pag-Asa,Grassland,0
538,Pag-Asa,Brush/Shrubs,0
539,Pag-Asa,Brush/Shrubs,0
540,Pag-Asa,Brush/Shrubs,0
541,Pag-Asa,Grassland,0
542,Batong Buhay,Grassland,0
543,Batong Buhay,Brush/Shrubs,0
544,Batong Buhay,inland water,0
545,Santa Lucia,Grassland,0
546,Santa Lucia,Brush/Shrubs,0
547,Claudio Salgado,Open Forest,0
548,Claudio Salgado,inland water,0
549,Pag-Asa,Mangrove Open Forest,0
550,San Agustin,Mangrove Open Forest,0
551,San Agustin,Brush/Shrubs,0
552,San Agustin,Open Forest,0
553,Malisbong,Brush/Shrubs,0
554,Malisbong,Brush/Shrubs,0
555,Malisbong,Open Forest,0
556,Ligaya,Open Forest,0
557,Ligaya,Open Forest,0
564,Pag-Asa,Grassland,0
565,Pag-Asa,Grassland,0
566,Pag-Asa,Grassland,0
567,Pag-Asa,Grassland,0
568,San Agustin,inland water,0
569,San Agustin,Brush/Shrubs,0
570,San Agustin,Brush/Shrubs,0
571,San Agustin,Open Forest,0
572,San Agustin,Frrest,0
573,San Agustin,Open Forest,0
574,Batong Buhay,Open Forest,0
575,Batong Buhay,Grassland,0
576,Batong Buhay,Brush/Shrubs,0
577,Batong Buhay,Brush/Shrubs,0
578,Malisbong,Grassland,0
579,Malisbong,Grassland,0
580,Claudio Salgado,inland water,0
581,Claudio Salgado,Brush/Shubs,0
582,Claudio Salgado,Open Forest,0
583,Claudio Salgado,Brush/Shrubs,0
584,Batong Buhay,inland water,0
585,Batong Buhay,Open Forest,0
586,Batong Buhay,Forres,0
587,Batong Buhay,Open Forest,0
588,Malisbong,Open Forest,0
589,Malisbong,Brush/Shrubs,0
590,Ligaya,Open Forest,0
591,Ligaya,Open Forest,0
592,Ligaya,Open Forest,0
593,Burgos,Open Forest,0
597,Malisbong,NULL,0
598,Malisbong,Grassland,0
599,Malisbong,Grassland,0
600,Malisbong,Grassland,0
601,Ligaya,Grassland,0
602,Ligaya,inland water,0
603,Ligaya,Brush/Shrubs,0
604,Burgos,Brush/Shrubs,0
605,Burgos,Marshland/Swamp,0
606,Burgos,Open Forest,0
607,Pag-Asa,Open Forest,0
608,Pag-Asa,Open Forest,0
609,Pag-Asa,Grassland,0
610,Pag-Asa,Grassland,0
611,Pag-Asa,Grassland,0
612,Malisbong,Grassland,0
613,Malisbong,inland water,0
614,Malisbong,inland water,0
615,Ibud,Brush/Shrubs,0
616,Ibud,Grassland,0
617,Santo Niño,Grasland,0
618,Santo Niño,Brush/Shrubs,0
619,Malisbong,inland water,0
620,Malisbong,Brush/Shrubs,0
621,Malisbong,Open Forest,0
622,Malisbong,Open Forest,0
623,Ligaya,Grassland,0
624,Burgos,Brush/Shrubs,0
625,Burgos,Open Forest,0
626,Burgos,Brush/Shrubs,0
627,Pag-Asa,Brush/Shrubs,0
631,Pag-Asa,NULL,0
632,Pag-Asa,Open Forest,0
633,Pag-Asa,Grassland,0
634,Pag-Asa,Grassland,0
635,Pag-Asa,Grassland,0
636,Pag-Asa,Grassland,0
637,San Agustin,inland water,0
638,San Agustin,inland water,0
639,San Agustin,Open Forest,0
640,San Agustin,Open Forest,0
641,San Agustin,Open Forest,0
642,San Agustin,Open Forest,0
643,Batong Buhay,Open Forest,0
644,Batong Buhay,Grasslad,0
645,Batong Buhay,Grassland,0
646,Batong Buhay,Grassland,0
647,Ligaya,Grassland,0
648,Ligaya,inland water,0
649,Burgos,inland water,0
650,Poblacion (Lumangbayan),Brush/Shrubs,0
651,Poblacion (Lumangbayan),Brush/Shrubs,0
652,Santa Lucia,Grassland,0
653,Santa Lucia,Grassland,0
654,Ligaya,Grassland,0
655,Ligaya,Brush/Shrubs,0
656,Burgos,Brush/Shrubs,0
657,Burgos,Grassland,0
658,Burgos,Grassland,0
659,Burgos,Brush/Shrubs,0
660,Burgos,Grassland,0
661,Pag-Asa,Brush/Shrubs,0
662,Paetan,Brush/Shrubs,0
663,San Francisco,Brush/Shrubs,0
666,Malisbong,Open Forest,0
667,Malisbong,Open Forest,0
668,Malisbong,Open Forest,0
669,Malisbong,Grassland,0
670,Malisbong,Grassland,0
671,Ligaya,Grassland,0
672,Ligaya,Open Forest,0
673,Burgos,open foret,0
674,Burgos,Open Forest,0
675,Burgos,Brush/Shrubs,0
676,Pag-Asa,Open Forest,0
677,Pag-Asa,Open Forest,0
678,Pag-Asa,Brush/Shrubs,0
679,Pag-Asa,Brush/Shrubs,0
680,Pag-Asa,Grassland,0
681,Burgos,Grassland,0
682,Burgos,Grassland,0
683,Pag-Asa,inland water,0
684,Pag-Asa,Brush/Shrubs,0
685,Santa Lucia,Grassland,0
686,Santa Lucia,Grassland,0
687,Santa Lucia,Grassland,0
688,San Nicolas,Grassland,0
689,Pag-Asa,Grassland,0
690,Pag-Asa,Brush/Shrubs,0
691,Pag-Asa,Grassland,0
692,Pag-Asa,Grassland,0
693,Pag-Asa,Grassland,0
694,Pag-Asa,Brush/Shrubs,0
695,San Francisco,bruh/shrubs,0
696,San Francisco,Brush/Shrubs,0
697,Batong Buhay,Brush/Shrubs,0
698,Batong Buhay,NULL,0
701,Pag-Asa,Open Forest,0
702,Pag-Asa,Open Forest,0
703,Pag-Asa,Open Forest,0
704,Pag-Asa,Brush/Shrubs,0
705,San Agustin,Brush/Shrubs,0
706,San Agustin,Grassland,0
707,San Agustin,Open Forest,0
708,San Agustin,Closed Forest,0
709,San Agustin,Open Forest,0
710,San Agustin,Brush/Shrubs,0
711,San Agustin,Brush/Shrubs,0
712,San Agustin,Brush/Shrubs,0
713,Batong Buhay,Open Forest,0
714,Batong Buhay,Brush/Shrubs,0
715,Batong Buhay,Grassland,0
716,Pag-Asa,Grassland,0
717,Pag-Asa,marshland,0
718,San Agustin,Grassland,0
719,San Agustin,Grassland,0
720,San Nicolas,Grassland,0
721,Claudio Salgado,Grassland,0
722,Claudio Salgado,Grassland,0
723,Claudio Salgado,Brush/Shrubs,0
724,Pag-Asa,Brush/Shrubs,0
725,Pag-Asa,Brush/Shrubs,0
726,Pag-Asa,Grassland,0
727,Pag-Asa,Grassland,0
728,Pag-Asa,Brush/Shrubs,0
729,Pag-Asa,Brush/Shrubs,0
730,Pag-Asa,Brush/Shrubs,0
731,Malisbong,Brush/Shrubs,0
732,Malisbong,Grassland,0
733,Malisbong, Brush/Shrubs,0
736,Batong Buhay,NULL,0
737,Malisbong,Open Forest,0
738,Malisbong,Open Forest,0
739,Malisbong,Open Forest,0
740,Malisbong,Brush/Shrubs,0
741,Ligaya,inland water,0
742,Ligaya,Open Forest,0
743,Ligaya,open fores,0
744,Burgos,Open Forest,0
745,Burgos,Brush/Shrubs,0
746,Burgos,Open Forest,0
747,Pag-Asa,Open Forest,0
748,Pag-Asa,Open Forest,0
749,Pag-Asa,Grassland,0
750,San Agustin,Grassland,0
751,San Agustin,Grassland,0
752,San Agustin,marshland/swamp,0
753,San Agustin,marshland/swamp,0
754,San Agustin,Grassland ,0
755,Victoria,Grassland,0
756,Tagumpay,Grassland,0
757,Tagumpay,Grassland,0
758,Ibud,Grassland,0
759,Pag-Asa,Grassland,0
760,Pag-Asa,Grassland,0
761,Pag-Asa,Grassland,0
762,Pag-Asa,Grassland,0
763,Pag-Asa,Brush/Shrubs,0
764,Pag-Asa,Brush/Shrubs,0
765,Malisbong,Brush/Shrubs,0
766,Malisbong,Grassland,0
767,Ligaya,Grassland,0
768,Ligaya,NULL,0
772,Pag-Asa,Annual Crop,0
773,Pag-Asa,Open Forest,0
774,Pag-Asa,close forest,0
775,Pag-Asa,Brush/Shrubs,0
776,Pag-Asa,close forest,0
777,San Agustin,close forest,0
778,San Agustin,close forest,0
779,San Agustin,Open Forest,0
780,San Agustin,Open Forest,0
781,San Agustin,Open Forest,0
782,San Agustin,Open Forest,0
783,San Agustin,Open Forest,0
784,San Agustin,Open Forest,0
785,San Agustin,Brush/Shrubs,0
786,San Agustin,Brush/Shrubs,0
787,San Agustin,Brush/Shrubs,0
788,Batong Buhay,Grassland,0
789,Batong Buhay,Grassland,0
790,Santo Niño,Grassland,0
791,Santo Niño,Grassland,0
792,Santo Niño,Grassland,0
793,Tuban,Grassland,0
794,Pag-Asa,Grassland,0
795,Pag-Asa,Grassland,0
796,San Agustin,Grassland,0
797,San Agustin,Brush/Shrubs,0
798,San Agustin,Open Forest,0
799,Pag-Asa,Brush/Shrubs,0
800,Pag-Asa,Grassland,0
801,Ligaya,Grassland,0
802,Burgos,Grassland,0
803,Burgos,Brush/Shrubs,0
807,Batong Buhay,NULL,0
808,Batong Buhay,Open Forest,0
809,Batong Buhay,Closed Forest,0
810,Batong Buhay,Open Forest,0
811,Malisbong,Closed Forest,0
812,Malisbong,Closed Forest,0
813,Malisbong,Open Forest,0
814,Malisbong,Open Forest,0
815,Malisbong,Open Forest,0
816,Ligaya,Open Forest,0
817,Ligaya,Open Forest,0
818,Burgos,Open Forest,0
819,Batong Buhay,Open Forest,0
820,Batong Buhay,Brush/Shrubs,0
821,Batong Buhay,Brush/Shrubs,0
822,Malisbong,Grassland,0
823,Malisbong,Grassland,0
824,Malisbong,Grassland,0
825,Santa Lucia,Grassland,0
826,Santa Lucia,Grassland,0
827,Santa Lucia,Grassland,0
828,Santa Lucia,Grassland,0
829,San Agustin,Open Forest,0
830,Batong Buhay,Grassland,0
831,Batong Buhay,Grassland,0
832,Batong Buhay,Grassland,0
833,Pag-Asa,Grassland,0
834,Pag-Asa,Grassland,0
835,Pag-Asa,Grassland,0
836,Burgos,Grassland,0
837,Burgos,Grassland,0
838,Pag-Asa,NULL,0
843,Burgos,NULL,0
844,Burgos,Open Forest,0
845,Pag-Asa,Closed Forest,0
846,Pag-Asa,Closed Forest,0
847,Pag-Asa,Closed Forest,0
848,Pag-Asa,Open Forest,0
849,Pag-Asa,Open Forest,0
850,Pag-Asa,Open Forest,0
851,Pag-Asa,Open Forest,0
852,San Agustin,Open Forest,0
853,San Agustin,Open Forest,0
854,Malisbong,Open Forest,0
855,Ligaya,Open Forest,0
856,Ligaya,Open Forest,0
857,Burgos,Open Forest,0
858,Burgos,Open Forest,0
859,Burgos,Grassland,0
860,Santa Lucia,Grassland,0
861,San Nicolas,Grassland,0
862,San Nicolas,Grassland,0
863,Claudio Salgado,Grassland,0
864,Batong Buhay,Grassland,0
865,Malisbong,Grassland,0
866,Malisbong,Grassland,0
867,Malisbong,Grassland,0
868,Malisbong,Grassland,0
869,Pag-Asa,Grassland,0
870,Pag-Asa,Grassland,0
871,Pag-Asa,Grassland,0
872,Pag-Asa,Grassland,0
873,San Agustin,Grassland,0
878,San Agustin,NULL,0
879,San Agustin,Open Forest,0
880,San Agustin,Open Forest,0
881,San Agustin,Open Forest,0
882,San Agustin,Open Forest,0
883,San Agustin,Closed Forest,0
884,San Agustin,Closed Forest,0
885,Batong Buhay,Closed Forest,0
886,Batong Buhay,Open Forest,0
887,Pag-Asa,Open Forest,0
888,Pag-Asa,Open Forest,0
889,Pag-Asa,Open Forest,0
890,San Agustin,Open Forest,0
891,San Agustin,Open Forest,0
892,San Agustin,Open Forest,0
893,San Agustin,Grassland,0
894,San Agustin,Grassland,0
895,Claudio Salgado,Grassland,0
896,Ilvita,Grassland,0
897,Victoria,Grassland,0
898,Victoria,Grassland,0
899,Ligaya,Grassland,0
900,Ligaya,Grassland,0
901,Burgos,Grassland,0
902,Burgos,Grassland,0
903,Pag-Asa,Grassland,0
904,San Agustin,Grassland,0
905,San Agustin,Grassland,0
906,San Agustin,Grassland,0
907,San Francisco,Grassland,0
908,San Francisco,NULL,0
914,Batong Buhay,NULL,0
915,Batong Buhay,Open Forest,0
916,Malisbong,Open Forest,0
917,Malisbong,Open Forest,0
918,Malisbong,Closed Forest,0
919,Malisbong,Closed Forest,0
920,Malisbong,Closed Forest,0
921,Ligaya,Open Forest,0
922,San Agustin,Open Forest,0
923,San Agustin,Open Forest,0
924,San Agustin,Open Forest,0
925,San Agustin,Open Forest,0
926,San Agustin,Open Forest,0
927,Batong Buhay,Open Forest,0
928,Batong Buhay,Open Forest,0
929,Batong Buhay,Grassland,0
930,Tagumpay,Grassland,0
931,San Vicente,Grassland,0
932,San Vicente,Grassland,0
933,San Vicente,Grassland,0
934,Burgos,Grassland,0
935,Burgos,Grassland,0
936,Pag-Asa,Grassland,0
937,Pag-Asa,Grassland,0
938,Pag-Asa,Grassland,0
939,Batong Buhay,Grassland,0
940,Batong Buhay,Grassland,0
941,Batong Buhay,Grassland,0
942,Batong Buhay,Grassland,0
943,Batong Buhay,Grassland,0
949,Ligaya,NULL,0
950,Burgos,Open Forest,0
951,Burgos,Open Forest,0
952,Burgos,Closed Forest,0
953,Pag-Asa,Closed Forest,0
954,Pag-Asa,Open Forest,0
955,Pag-Asa,Open Forest,0
956,Batong Buhay,Open Forest,0
957,Batong Buhay,Open Forest,0
958,Malisbong,Open Forest,0
959,Malisbong,Open Forest,0
960,Malisbong,Open Forest,0
961,Malisbong,Open Forest,0
962,Malisbong,Open Forest,0
963,Ligaya,Grassland,0
964,Ligaya,Grassland,0
965,Tuban,Open Forest,0
966,Tuban,Grassland,0
967,Tuban,Grassland,0
968,Tuban,Grassland,0
969,Pag-Asa,Grassland,0
970,Pag-Asa,Grassland,0
971,Pag-Asa,Brush/Shrubs,0
972,Pag-Asa,Grassland,0
973,Pag-Asa,Grassland,0
974,Batong Buhay,Grassland,0
975,Batong Buhay,Grassland,0
976,Malisbong,Grassland,0
977,Malisbong,Grassland,0
978,Malisbong,NULL,0
986,Pag-Asa,Open Forest,0
987,Pag-Asa,Open Forest,0
988,San Agustin,Open Forest,0
989,San Agustin,Open Forest,0
990,San Agustin,Open Forest,0
991,Burgos,Open Forest,0
992,Burgos,Open Forest,0
993,Burgos,Open Forest,0
994,Pag-Asa,Open Forest,0
995,Pag-Asa,Open Forest,0
996,Pag-Asa,Open Forest,0
997,San Agustin,Open Forest,0
998,San Agustin,Open Forest,0
999,San Agustin,Grassland,0
1000,Santa Lucia,Open Forest,0
1001,Santa Lucia,Grassland,0
1002,Santa Lucia,Grassland,0
1003,San Nicolas,Grassland,0
1004,San Nicolas,Grassland,0
1005,Pag-Asa,Grassland,0
1006,Pag-Asa,Grassland,0
1007,Pag-Asa,Grassland,0
1008,Pag-Asa,Grassland,0
1009,Malisbong,Grassland,0
1010,Malisbong,Grassland,0
1011,Malisbong,Grassland,0
1012,Ligaya,Grassland,0
1013,Ligaya,Grassland,0
1020,San Agustin,NULL,0
1021,San Agustin,Open Forest,0
1022,San Agustin,Open Forest,0
1023,San Agustin,Open Forest,0
1024,San Agustin,Open Forest,0
1025,San Agustin,Open Forest,0
1026,San Agustin,Brush/Shrubs,0
1027,San Agustin,Open Forest,0
1028,San Agustin,Open Forest,0
1029,San Agustin,Open Forest,0
1030,San Agustin,Open Forest,0
1031,San Agustin,Open Forest,0
1032,San Agustin,Open Forest,0
1033,Batong Buhay,Open Forest,0
1034,San Nicolas,Open Forest,0
1035,Ilvita,Open Forest,0
1036,Ilvita,Grassland,0
1037,Victoria,Grassland,0
1038,Victoria,Grassland,0
1039,Pag-Asa,Grassland,0
1040,Pag-Asa,Grassland,0
1041,Pag-Asa,Grassland,0
1042,San Agustin,Grassland,0
1043,San Agustin,Grassland,0
1044,Malisbong,Grassland,0
1045,Malisbong,Grassland,0
1046,Ligaya,Grassland,0
1047,Burgos,Grassland,0
1048,Burgos,NULL,0
1056,San Agustin,NULL,0
1057,Batong Buhay,Open Forest,0
1058,Batong Buhay,Open Forest,0
1059,Batong Buhay,Open Forest,0
1060,Batong Buhay,Open Forest,0
1061,Batong Buhay,Open Forest,0
1062,Batong Buhay,Open Forest,0
1063,Batong Buhay,Open Forest,0
1064,Malisbong,Open Forest,0
1065,Malisbong,Open Forest,0
1066,Malisbong,Open Forest,0
1067,Malisbong,Open Forest,0
1068,Ligaya,Open Forest,0
1069,Ligaya,Open Forest,0
1070,Paetan,Open Forest,0
1071,Paetan,Open Forest,0
1072,San Vicente,Open Forest,0
1073,San Vicente,Grassland,0
1074,San Vicente,Grassland,0
1075,San Agustin,Open Forest,0
1076,San Agustin,Grassland,0
1077,Batong Buhay,Grassland,0
1078,Batong Buhay,Grassland,0
1079,Malisbong,Grassland,0
1080,Ligaya,Grassland,0
1081,Burgos,Grassland,0
1082,Burgos,Grassland,0
1083,Pag-Asa,Grassland,0
1091,Batong Buhay,Open Forest,0
1092,Batong Buhay,Open Forest,0
1093,Malisbong,Open Forest,0
1094,Burgos,Open Forest,0
1095,Burgos,Open Forest,0
1096,Burgos,Open Forest,0
1097,Burgos,Open Forest,0
1098,Pag-Asa,Open Forest,0
1099,San Agustin,Open Forest,0
1100,San Agustin,Open Forest,0
1101,San Agustin,Open Forest,0
1102,San Agustin,Open Forest,0
1103,San Agustin,Open Forest,0
1104,Tuban,Open Forest,0
1105,Tuban,Open Forest,0
1106,Tuban,Open Forest,0
1107,Tuban,Open Forest,0
1108,Tuban,Open Forest,0
1109,Batong Buhay,Closed Forest,0
1110,Batong Buhay,Grassland,0
1111,Malisbong,Grassland,0
1112,Malisbong,Grassland,0
1113,Malisbong,Grassland,0
1114,Ligaya,Grassland,0
1115,Burgos,Grassland,0
1116,Pag-Asa,Grassland,0
1117,Pag-Asa,Grassland,0
1118,Pag-Asa,NULL,0
1126,Malisbong,NULL,0
1127,Malisbong,Open Forest,0
1128,Malisbong,Open Forest,0
1129,San Agustin,Open Forest,0
1130,San Agustin,Open Forest,0
1131,San Agustin,Open Forest,0
1132,San Agustin,Open Forest,0
1133,San Agustin,Open Forest,0
1134,San Agustin,Open Forest,0
1135,Batong Buhay,Open Forest,0
1136,Batong Buhay,Open Forest,0
1137,Batong Buhay,Open Forest,0
1138,Batong Buhay,Open Forest,0
1139,Batong Buhay,Brush/Shrubs,0
